S.No.,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,Maruti Wagon R LXI CNG,2010,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,8.5008
1,Hyundai Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,60.72
2,Honda Jazz V,2011,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,21.8592
3,Maruti Ertiga VDI,2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,29.1456
4,Audi A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,86.173824
5,Hyundai EON LPG Era Plus Option,2012,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5,11.41536
6,Nissan Micra Diesel XV,2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,17.0016
7,Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8,85.008
8,Volkswagen Vento Diesel Comfortline,2013,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,25.25952
9,Tata Indica Vista Quadrajet LS,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,9.47232
10,Maruti Ciaz Zeta,2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5,48.33312
11,Honda City 1.5 V AT Sunroof,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5,21.810624
12,Maruti Swift VDI BSIV,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,27.20256
13,Land Rover Range Rover 2.2L Pure,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,131.1552
14,Land Rover Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,85.008
15,Mitsubishi Pajero Sport 4X4,2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,72.864
16,Honda Amaze S i-Dtech,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,26.23104
17,Maruti Swift DDiS VDI,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,29.097024
18,Renault Duster 85PS Diesel RxL Plus,2014,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,30.797184
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5,136.0128
20,BMW 3 Series 320d,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,90.10848
21,Maruti S Cross DDiS 200 Alpha,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5,40.0752
22,Audi A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5,114.1536
23,Hyundai i20 1.2 Magna,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,9.083712
24,Volkswagen Vento Petrol Highline AT,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5,13.84416
25,Honda City Corporate Edition,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,20.6448
26,Nissan Micra Diesel XV,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,20.6448
27,Maruti Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5,13.3584
28,Honda WRV i-VTEC VX,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,48.09024
29,Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7,19.4304
30,Renault Duster 110PS Diesel RxZ Pack,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,37.6464
31,Toyota Corolla Altis G,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5,32.7888
32,Mahindra Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7,60.72
33,Audi A6 2.7 TDI,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,55.8624
34,Volkswagen Vento 1.6 Highline,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5,33.906048
35,Maruti Wagon R LXI BSIII,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5,8.98656
36,Maruti Vitara Brezza ZDi Plus,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,41.921088
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,23.55936
